Genotype,Balance,Replicate,Day,Chamber,NTR.start,NTR.end,step1.start,step1.end,step2.start,step2.end,step3.start,step3.end,step4.start,step4.end,step5.start,step5.end,step6.start,step6.end,step7.start,step7.end
WBDC.292,52,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.173,17,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.173,35,2,1,2,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.173,53,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.NULL,18,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.NULL,36,2,1,2,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.NULL,54,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
